Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
57,1,Romelu Lukaku Menama,Belgium,Forward,64.7
95,2,Michy Batshuayi Tunga,Belgium,Forward,61.9
111,3,Kevin De Bruyne,Belgium,Attacking Midfield/Wing,61.2
189,4,Dries Mertens,Belgium,Attacking Midfield/Wing,59.3
198,5,Yannick Ferreira Carrasco,Belgium,Attacking Midfield/Wing,59.1
208,6,Thorgan Hazard,Belgium,Attacking Midfield/Wing,58.9
266,7,Thibaut Courtois,Belgium,Goalkeeper,58
333,8,Leandro Trossard,Belgium,Forward,57.3
334,9,Thomas Meunier,Belgium,Fullback/Wingback,57.3
349,10,Eden Hazard,Belgium,Attacking Midfield/Wing,57.1
372,11,Amadou Onana,Belgium,Defensive Midfield,56.9
390,12,Jan Vertonghen,Belgium,Center Back,56.8
403,13,Leander Dendoncker,Belgium,Center Back,56.6
426,14,Axel Witsel,Belgium,Defensive Midfield,56.4
439,15,Toby Alderweireld,Belgium,Center Back,56.4
461,16,Timothy Castagne,Belgium,Fullback/Wingback,56.2
502,17,Youri Tielemans,Belgium,Defensive Midfield,55.9
