Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
9,1,Jamal Musiala,Germany,Attacking Midfield/Wing,73.2
45,2,Serge Gnabry,Germany,Attacking Midfield/Wing,66.7
90,3,Joshua Kimmich,Germany,Fullback/Wingback,63.5
94,4,Kai Havertz,Germany,Forward,63.2
98,5,Thomas Müller,Germany,Forward,63
99,6,Antonio Rüdiger,Germany,Center Back,62.9
118,7,Niclas Füllkrug,Germany,Forward,62.4
124,8,İlkay Gündoğan,Germany,Attacking Midfield/Wing,62.2
138,9,David Raum,Germany,Fullback/Wingback,61.6
160,10,Leroy Sané,Germany,Attacking Midfield/Wing,61
178,11,Leon Goretzka,Germany,Defensive Midfield,60.7
183,12,Niklas Süle,Germany,Fullback/Wingback,60.6
379,13,Thilo Kehrer,Germany,Fullback/Wingback,57.7
421,14,Manuel Neuer,Germany,Goalkeeper,57.4
425,15,Nico Schlotterbeck,Germany,Center Back,57.3
428,16,Mario Götze,Germany,Central/Wide Midfield,57.3
552,17,Lukas Klostermann,Germany,Fullback/Wingback,56.4
