Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
85,1,Christian Dannemann Eriksen,Denmark,Central/Wide Midfield,63.9
136,2,Andreas Evald Cornelius,Denmark,Forward,61.7
146,3,Andreas Christensen,Denmark,Center Back,61.5
159,4,Pierre-Emile Højbjerg,Denmark,Central/Wide Midfield,61.1
170,5,Joakim Mæhle,Denmark,Fullback/Wingback,60.8
194,6,Jesper Lindstrøm,Denmark,Attacking Midfield/Wing,60.4
208,7,Joachim Andersen,Denmark,Center Back,60.2
224,8,Andreas Skov Olsen,Denmark,Attacking Midfield/Wing,59.9
238,9,Kasper Dolberg,Denmark,Forward,59.7
251,10,Mikkel Damsgaard,Denmark,Attacking Midfield/Wing,59.5
295,11,Kasper Schmeichel,Denmark,Goalkeeper,58.8
303,12,Mathias Jensen,Denmark,Central/Wide Midfield,58.7
305,13,Rasmus Nissen Kristensen,Denmark,Fullback/Wingback,58.6
357,14,Martin Braithwaite Christensen,Denmark,Forward,58
381,15,Victor Nelsson,Denmark,Center Back,57.7
489,16,Thomas Delaney,Denmark,Defensive Midfield,56.8
501,17,Alexander Hartmann Bah,Denmark,Fullback/Wingback,56.8
522,18,Simon Thorup Kjær,Denmark,Center Back,56.7
